[ 2025-08-07 10:58:27,545 ] 22 root - INFO - Initiate the data ingestion
[ 2025-08-07 10:58:34,064 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-07 10:58:34,065 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-07 10:58:34,065 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-07 10:58:34,116 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-07 10:58:34,116 ] 24 root - INFO - Data Initiation Completed
[ 2025-08-07 10:58:34,121 ] 28 root - INFO - Initiate the data Validation
[ 2025-08-07 10:58:34,132 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 10:58:34,132 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 10:58:34,132 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 10:58:34,132 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 10:58:34,217 ] 30 root - INFO - data Validation Completed
[ 2025-08-07 10:58:34,217 ] 33 root - INFO - data Transformation started
[ 2025-08-07 10:58:34,217 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-07 10:58:34,217 ] 65 root - INFO - Starting data transformation
[ 2025-08-07 10:58:34,227 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-07 10:58:34,227 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-07 10:58:34,231 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 10:58:34,235 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 10:58:34,235 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 10:58:34,241 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 10:58:34,241 ] 37 root - INFO - data Transformation completed
[ 2025-08-07 10:58:34,241 ] 39 root - INFO - Model Training sstared
