[ 2025-08-07 10:28:45,061 ] 22 root - INFO - Initiate the data ingestion
[ 2025-08-07 10:28:47,796 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-07 10:28:47,796 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-07 10:28:47,796 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-07 10:28:47,829 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-07 10:28:47,829 ] 24 root - INFO - Data Initiation Completed
[ 2025-08-07 10:28:47,834 ] 28 root - INFO - Initiate the data Validation
[ 2025-08-07 10:28:47,846 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 10:28:47,846 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 10:28:47,846 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 10:28:47,846 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 10:28:47,954 ] 30 root - INFO - data Validation Completed
[ 2025-08-07 10:28:47,954 ] 33 root - INFO - data Transformation started
[ 2025-08-07 10:28:47,954 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-07 10:28:47,954 ] 65 root - INFO - Starting data transformation
[ 2025-08-07 10:28:47,963 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-07 10:28:47,963 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-07 10:28:47,968 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 10:28:47,979 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 10:28:47,979 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 10:28:47,986 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 10:28:47,987 ] 37 root - INFO - data Transformation completed
[ 2025-08-07 10:28:47,987 ] 39 root - INFO - Model Training sstared
