[ 2025-08-07 11:55:09,298 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-07 11:55:11,711 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-07 11:55:11,711 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-07 11:55:11,711 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-07 11:55:11,744 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-07 11:55:11,745 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-07 11:55:11,748 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-07 11:55:11,759 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 11:55:11,759 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 11:55:11,759 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 11:55:11,759 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 11:55:11,840 ] 28 root - INFO - data Validation Completed
[ 2025-08-07 11:55:11,840 ] 31 root - INFO - data Transformation started
[ 2025-08-07 11:55:11,840 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-07 11:55:11,840 ] 65 root - INFO - Starting data transformation
[ 2025-08-07 11:55:11,852 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-07 11:55:11,852 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-07 11:55:11,858 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 11:55:11,860 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 11:55:11,860 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 11:55:11,864 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 11:55:11,865 ] 35 root - INFO - data Transformation completed
[ 2025-08-07 11:55:11,865 ] 37 root - INFO - Model Training sstared
[ 2025-08-07 11:55:11,865 ] 23 root - INFO - Model trainer initiated
[ 2025-08-07 11:55:11,865 ] 57 root - INFO - Initiating model training pipeline
[ 2025-08-07 11:55:11,866 ] 31 root - INFO - Training model
[ 2025-08-07 11:55:13,209 ] 40 root - INFO - Best model: LogisticRegression(C=0.1)
[ 2025-08-07 11:55:13,213 ] 79 root - INFO - Evaluation Metrics: {'accuracy': 0.9258254183627318, 'precision': 0.9289704708699122, 'recall': 0.9394673123486683, 'f1_score': 0.9341894060995185}
[ 2025-08-07 11:55:13,213 ] 47 root - INFO - Tracking model with MLflow
