[ 2025-08-07 11:06:20,219 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-07 11:06:26,598 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-07 11:06:26,598 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-07 11:06:26,598 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-07 11:06:26,632 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-07 11:06:26,632 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-07 11:06:26,636 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-07 11:06:26,647 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 11:06:26,647 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 11:06:26,647 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 11:06:26,647 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 11:06:26,814 ] 28 root - INFO - data Validation Completed
[ 2025-08-07 11:06:26,814 ] 31 root - INFO - data Transformation started
[ 2025-08-07 11:06:26,814 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-07 11:06:26,814 ] 65 root - INFO - Starting data transformation
[ 2025-08-07 11:06:26,825 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-07 11:06:26,825 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-07 11:06:26,829 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 11:06:26,831 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 11:06:26,831 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 11:06:26,834 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 11:06:26,834 ] 35 root - INFO - data Transformation completed
[ 2025-08-07 11:06:26,834 ] 37 root - INFO - Model Training sstared
[ 2025-08-07 11:06:26,834 ] 28 root - INFO - Model trainer log started
[ 2025-08-07 11:06:26,834 ] 45 root - INFO - Loading transformed data
[ 2025-08-07 11:06:26,835 ] 52 root - INFO - Training model
[ 2025-08-07 11:06:26,835 ] 36 root - INFO - Started training the model
[ 2025-08-07 11:06:27,091 ] 55 root - INFO - Predicting and evaluating model
[ 2025-08-07 11:06:27,111 ] 63 root - INFO - Model Accuracy: 0.9692446856625961, Precision: 0.9694031602691003, Recall: 0.9692446856625961, F1 Score: 0.9692081719226783
[ 2025-08-07 11:06:27,111 ] 65 root - INFO - Logging metrics to MLflow
