[ 2025-08-07 11:40:08,606 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-08-07 11:40:09,144 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-08-07 11:40:10,493 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-07 11:40:10,500 ] 107 dagshub - INFO - Accessing as saketwatkar
[ 2025-08-07 11:40:11,456 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/saketwatkar/NetworkSecurity "HTTP/1.1 200 OK"
[ 2025-08-07 11:40:12,533 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-07 11:40:12,547 ] 107 dagshub - INFO - Initialized MLflow to track repo "saketwatkar/NetworkSecurity"
[ 2025-08-07 11:40:12,547 ] 107 dagshub - INFO - Repository saketwatkar/NetworkSecurity initialized!
[ 2025-08-07 11:40:12,548 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-07 11:40:17,377 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-07 11:40:17,377 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-07 11:40:17,378 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-07 11:40:17,412 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-07 11:40:17,412 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-07 11:40:17,416 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-07 11:40:17,427 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 11:40:17,427 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 11:40:17,427 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 11:40:17,427 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 11:40:17,530 ] 28 root - INFO - data Validation Completed
[ 2025-08-07 11:40:17,530 ] 31 root - INFO - data Transformation started
[ 2025-08-07 11:40:17,530 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-07 11:40:17,530 ] 65 root - INFO - Starting data transformation
[ 2025-08-07 11:40:17,540 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-07 11:40:17,540 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-07 11:40:17,545 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 11:40:17,547 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 11:40:17,547 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 11:40:17,550 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 11:40:17,551 ] 35 root - INFO - data Transformation completed
[ 2025-08-07 11:40:17,551 ] 37 root - INFO - Model Training sstared
